Date,GOLD,USDX
3/2/2001,263.1,111.17
3/5/2001,263.5,111.54
3/6/2001,260.9,111.2
3/7/2001,262.4,111.83
3/8/2001,266.1,111.49
3/9/2001,271.5,111.44
3/12/2001,272.3,112.01
3/13/2001,267.5,113.11
3/14/2001,262.9,113.7
3/15/2001,260.3,114.71
3/16/2001,258.4,115.32
3/19/2001,260.1,115.2
3/20/2001,260.8,114.11
3/21/2001,262.2,115.53
3/22/2001,261.4,116.3
3/23/2001,261.7,115.94
3/26/2001,262.1,115.21
3/27/2001,261.1,115.43
3/28/2001,259.7,116.01
3/29/2001,260.4,116.6
3/30/2001,259.2,117.37
4/2/2001,256.6,117.34
4/3/2001,257.9,115.63
4/4/2001,259.4,115.08
4/5/2001,259.1,115.47
4/6/2001,260.9,114.75
4/9/2001,259.2,115.21
4/10/2001,258.2,116.02
4/11/2001,259.6,116.13
4/12/2001,260.9,115.54
4/16/2001,264.1,116.18
4/17/2001,261.8,116.46
4/18/2001,262,116.13
4/19/2001,266,115.02
4/20/2001,265.4,114.32
4/23/2001,264.3,114.77
4/24/2001,264.7,115.2
4/25/2001,262.6,114.98
4/26/2001,264.5,114.46
4/27/2001,264.3,115.62
4/30/2001,264.4,115.85
5/1/2001,264.8,115.3
5/2/2001,265.8,115.16
5/3/2001,266.7,115.38
5/4/2001,266.5,114.93
5/7/2001,266.5,115.32
5/8/2001,265.5,116.08
5/9/2001,270.4,116.05
5/10/2001,269.5,116.37
5/11/2001,268.3,116.84
5/14/2001,268.7,117.14
5/15/2001,268.5,116.79
5/16/2001,272.4,116.14
5/17/2001,274,116.12
5/18/2001,287.8,116.41
5/21/2001,285.8,116.52
5/22/2001,285.5,117.69
5/23/2001,284,118.29
5/24/2001,279.4,118.36
5/25/2001,278.2,118.18
5/29/2001,273.9,118.22
5/30/2001,267.4,118.22
5/31/2001,266.9,119.07
6/1/2001,268,118.89
6/4/2001,266.5,119.19
6/5/2001,267.1,118.7
6/6/2001,267,119.36
6/7/2001,267.3,119.09
6/8/2001,274.5,119.21
6/11/2001,268.9,120.05
6/12/2001,272.6,119.61
6/13/2001,273.1,119.03
6/14/2001,276.4,117.99
6/15/2001,272.3,118.29
6/18/2001,273.4,118.36
6/19/2001,274.4,119.04
6/20/2001,273.4,119.13
6/21/2001,273.6,118.89
6/22/2001,273.3,118.91
6/25/2001,274.7,118.32
6/26/2001,277,118.07
6/27/2001,272.8,118.38
6/28/2001,270,120.01
6/29/2001,271.3,119.43
7/2/2001,270.1,119.67
7/3/2001,268.3,119.6
7/5/2001,265.8,120.9
7/6/2001,266.6,119.9
7/9/2001,267,119.89
7/10/2001,266.7,119.13
7/11/2001,268.8,118.64
7/12/2001,267.1,119.09
7/13/2001,267.6,119.33
7/16/2001,267.4,119.3
7/17/2001,268.6,118.9
7/18/2001,270.8,117.38
7/19/2001,269.7,117.33
7/20/2001,270.2,117.21
7/23/2001,269.1,117.85
7/24/2001,270,117.12
7/25/2001,267.8,116.64
7/26/2001,266.3,116.74
7/27/2001,267.4,116.94
7/30/2001,267.6,117.2
7/31/2001,269.2,117.18
8/1/2001,270.3,116.56
8/2/2001,270.3,116.28
8/3/2001,270.8,116.14
8/6/2001,269.9,116.42
8/7/2001,269.9,116.83
8/8/2001,270.7,116.54
8/9/2001,276.2,115.25
8/10/2001,276.8,115.29
8/13/2001,278.6,115.01
8/14/2001,279.1,114.39
8/15/2001,278.4,113.19
8/16/2001,277.9,113.08
8/17/2001,282,112.99
8/20/2001,278.6,113.4
8/21/2001,277.4,113.29
8/22/2001,277.3,113.27
8/23/2001,277.7,113.09
8/24/2001,274.9,113.33
8/27/2001,274.9,113.39
8/28/2001,274.4,113.43
8/29/2001,275.8,113.54
8/30/2001,277.5,112.84
8/31/2001,276.5,113.42
9/4/2001,273.7,115.68
9/5/2001,274.1,115.6
9/6/2001,275,114.97
9/7/2001,275.1,114.05
9/10/2001,273.7,114.57
9/17/2001,291.5,112.01
9/18/2001,289.7,111.92
9/19/2001,292.3,111.61
9/20/2001,289.8,111.87
9/21/2001,292.9,113.04
9/24/2001,290.9,112.84
9/25/2001,291.8,112.28
9/26/2001,294.8,112.29
9/27/2001,293.2,112.98
9/28/2001,294,113.48
10/1/2001,293.5,113
10/2/2001,290.9,113.01
10/3/2001,291,113.4
10/4/2001,291.6,113.16
10/5/2001,292.5,112.91
10/8/2001,293.4,112.59
10/9/2001,289.7,113.35
10/10/2001,286.7,113.7
10/11/2001,282.6,114.44
10/12/2001,285.7,113.89
10/15/2001,282.7,113.82
10/16/2001,282.9,113.92
10/17/2001,284,114.38
10/18/2001,279.8,114.35
10/19/2001,280.7,114.86
10/22/2001,276.1,115.75
10/23/2001,276.5,115.85
10/24/2001,276.3,115.6
10/25/2001,278.2,115.55
10/26/2001,278.3,115.65
10/29/2001,279.7,114.44
10/30/2001,281.2,114.35
10/31/2001,280.5,114.86
11/1/2001,280.7,114.46
11/2/2001,280.8,114.54
11/5/2001,279.5,114.54
11/6/2001,280.2,114.81
11/7/2001,281.3,114.98
11/8/2001,277.1,115.13
11/9/2001,277.7,115.09
11/12/2001,278.6,115.34
11/13/2001,278,116.4
11/14/2001,278,116.2
11/15/2001,275.3,116.51
11/16/2001,274.9,116.41
11/19/2001,272.9,116.93
11/20/2001,273.2,116.62
11/21/2001,273.1,117.15
11/26/2001,272.5,117.11
11/27/2001,273.4,116.89
11/28/2001,274.1,116.17
11/29/2001,274.7,116.13
11/30/2001,274.9,116.13
12/3/2001,277.9,115.96
12/4/2001,276.3,116.08
12/5/2001,274.6,116.41
12/6/2001,275,115.63
12/7/2001,274.7,116.15
12/10/2001,273,116.26
12/11/2001,272.9,116.05
12/12/2001,274.5,115.33
12/13/2001,274.6,115.8
12/14/2001,278.6,114.93
12/17/2001,278.3,114.93
12/18/2001,280.9,115.15
12/19/2001,276,115.48
12/20/2001,276.5,115.59
12/21/2001,278.3,116.98
12/26/2001,279.6,117.85
12/27/2001,277.7,117.57
12/28/2001,276.8,117.26
12/31/2001,279,116.75
1/2/2002,279.2,115.79
1/3/2002,278.5,116.11
1/4/2002,279.2,116.33
1/7/2002,278.9,116.33
1/8/2002,279.2,116.83
1/9/2002,283.7,117.01
1/10/2002,287.4,116.88
1/11/2002,287.7,116.64
1/14/2002,285.7,116.64
1/15/2002,284.7,117.29
1/16/2002,287.6,117.59
1/17/2002,284.7,117.85
1/18/2002,283.4,117.51
1/22/2002,281.8,117.75
1/23/2002,278.9,118.47
1/24/2002,278.4,118.64
1/25/2002,279.1,119.85
1/28/2002,278.5,120.04
1/29/2002,281.4,119.62
1/30/2002,282.9,119.73
1/31/2002,282.9,120.24
2/1/2002,286.8,119.79
2/4/2002,290.1,118.9
2/5/2002,299.1,119.4
2/6/2002,298.3,119.3
2/7/2002,300.6,119.07
2/8/2002,304.4,118.98
2/11/2002,300.8,118.44
2/12/2002,301.3,118.25
2/13/2002,300,118.8
2/14/2002,300.2,118.43
2/15/2002,298.9,118.6
2/19/2002,293.6,118.36
2/20/2002,292.6,118.93
2/21/2002,293.5,119.16
2/22/2002,293.5,118.48
2/25/2002,292.9,119.13
2/26/2002,298.2,119.82
2/27/2002,296.6,119.57
2/28/2002,297.1,119.16
3/1/2002,298.4,119.4
3/4/2002,297.1,118.81
3/5/2002,294.4,118.57
3/6/2002,293.9,117.96
3/7/2002,290.5,116.8
3/8/2002,290.3,117.99
3/11/2002,291.3,117.73
3/12/2002,293.8,117.8
3/13/2002,293.8,117.96
3/14/2002,291.2,117.29
3/15/2002,290.1,117.22
3/18/2002,292.5,117.5
3/19/2002,293,117.5
3/20/2002,292.4,117.22
3/21/2002,293.1,117.52
3/22/2002,297.6,118.05
3/25/2002,297.7,118.1
3/26/2002,296.8,118.14
3/27/2002,302.2,118.54
3/28/2002,303.7,118.62
4/1/2002,304.2,117.77
4/2/2002,307,117.92
4/3/2002,303.5,117.68
4/4/2002,302,117.94
4/5/2002,301,117.69
4/8/2002,301.3,118.2
4/9/2002,299.5,117.59
4/10/2002,302.5,117.51
4/11/2002,303,117.37
4/12/2002,302.9,117.74
4/15/2002,300.7,117.64
4/16/2002,299.5,117.37
4/17/2002,302.8,116.6
4/18/2002,305.2,116.39
4/19/2002,303,116.29
4/22/2002,303.6,116.43
4/23/2002,304.6,116.57
4/24/2002,304.8,116.15
