"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2018","71.305","71.415","71.415","71.305","","-0.17%"
"11/22/2018","70.690","71.135","71.195","70.675","","-0.86%"
"11/23/2018","70.655","70.675","70.675","70.655","","-0.05%"
"11/26/2018","70.820","70.495","70.905","70.310","","0.23%"
"11/27/2018","70.785","70.815","71.030","70.710","","-0.05%"
"11/28/2018","70.640","70.900","70.900","70.580","","-0.20%"
"11/29/2018","69.780","70.110","70.145","69.780","","-1.22%"
"11/30/2018","69.650","69.695","69.915","69.570","","-0.19%"
"12/03/2018","70.440","69.880","70.470","69.880","","1.13%"
"12/04/2018","70.530","70.500","70.690","70.330","","0.13%"
"12/05/2018","70.560","70.710","70.750","70.390","","0.04%"
"12/06/2018","70.850","70.810","71.150","70.745","","0.41%"
"12/07/2018","70.860","70.570","70.860","70.453","","0.01%"
"12/10/2018","72.520","71.360","72.637","71.240","","2.34%"
"12/11/2018","72.291","72.506","72.506","71.691","","-0.32%"
"12/12/2018","71.840","72.283","72.283","71.769","","-0.62%"
"12/13/2018","71.530","71.858","71.858","71.456","","-0.43%"
"12/14/2018","71.920","71.550","72.043","71.550","","0.55%"
"12/17/2018","71.610","71.900","71.900","71.496","","-0.43%"
"12/18/2018","70.620","71.340","71.361","70.421","","-1.38%"
"12/19/2018","70.279","70.357","70.482","69.862","","-0.48%"
"12/20/2018","69.980","70.697","70.716","69.655","","-0.43%"
"12/21/2018","70.140","70.003","70.320","69.750","","0.23%"
"12/24/2018","70.105","70.151","70.296","69.873","","-0.05%"
"12/25/2018","70.050","70.050","70.050","70.050","","-0.08%"
"12/26/2018","70.070","70.065","70.170","69.755","","0.03%"
"12/27/2018","70.361","70.088","70.404","70.088","","0.42%"
"12/28/2018","69.933","70.151","70.151","69.885","","-0.61%"
"12/31/2018","69.570","69.783","69.946","69.570","","-0.52%"
"01/01/2019","69.453","69.635","69.745","69.435","","-0.17%"
"01/02/2019","70.000","69.469","70.255","69.469","","0.79%"
"01/03/2019","70.110","70.300","70.531","70.034","","0.16%"
"01/04/2019","69.550","70.115","70.145","69.550","","-0.80%"
